Month,gasoline
1960/1/1,87695
1960/2/1,86890
1960/3/1,96442
1960/4/1,98133
1960/5/1,113615
1960/6/1,123924
1960/7/1,128924
1960/8/1,134775
1960/9/1,117357
1960/10/1,114626
1960/11/1,107677
1960/12/1,108087
1961/1/1,92188
1961/2/1,88591
1961/3/1,98683
1961/4/1,99207
1961/5/1,125485
1961/6/1,124677
1961/7/1,132543
1961/8/1,140735
1961/9/1,124008
1961/10/1,121194
1961/11/1,111634
1961/12/1,111565
1962/1/1,101007
1962/2/1,94228
1962/3/1,104255
1962/4/1,106922
1962/5/1,130621
1962/6/1,125251
1962/7/1,140318
1962/8/1,146174
1962/9/1,122318
1962/10/1,128770
1962/11/1,117518
1962/12/1,115492
1963/1/1,108497
1963/2/1,100482
1963/3/1,106140
1963/4/1,118581
1963/5/1,132371
1963/6/1,132042
1963/7/1,151938
1963/8/1,150997
1963/9/1,130931
1963/10/1,137018
1963/11/1,121271
1963/12/1,123548
1964/1/1,109894
1964/2/1,106061
1964/3/1,112539
1964/4/1,125745
1964/5/1,136251
1964/6/1,140892
1964/7/1,158390
1964/8/1,148314
1964/9/1,144148
1964/10/1,140138
1964/11/1,124075
1964/12/1,136485
1965/1/1,109895
1965/2/1,109044
1965/3/1,122499
1965/4/1,124264
1965/5/1,142296
1965/6/1,150693
1965/7/1,163331
1965/8/1,165837
1965/9/1,151731
1965/10/1,142491
1965/11/1,140229
1965/12/1,140463
1966/1/1,116963
1966/2/1,118049
1966/3/1,137869
1966/4/1,127392
1966/5/1,154166
1966/6/1,160227
1966/7/1,165869
1966/8/1,173522
1966/9/1,155828
1966/10/1,153771
1966/11/1,143963
1966/12/1,143898
1967/1/1,124046
1967/2/1,121260
1967/3/1,138870
1967/4/1,129782
1967/5/1,162312
1967/6/1,167211
1967/7/1,172897
1967/8/1,189689
1967/9/1,166496
1967/10/1,160754
1967/11/1,155582
1967/12/1,145936
1968/1/1,139625
1968/2/1,137361
1968/3/1,138963
1968/4/1,155301
1968/5/1,172026
1968/6/1,165004
1968/7/1,185861
1968/8/1,190270
1968/9/1,163903
1968/10/1,174270
1968/11/1,160272
1968/12/1,165614
1969/1/1,146182
1969/2/1,137728
1969/3/1,148932
1969/4/1,156751
1969/5/1,177998
1969/6/1,174559
1969/7/1,198079
1969/8/1,189073
1969/9/1,175702
1969/10/1,180097
1969/11/1,155202
1969/12/1,174508
