ym,rate
1972年7月,1.3
1972年8月,1.3
1972年9月,1.5
1972年10月,1.2
1972年11月,1.2
1972年12月,1.3
1973年1月,1.5
1973年2月,1.5
1973年3月,1.6
1973年4月,1.4
1973年5月,1.3
1973年6月,1.3
1973年7月,1.2
1973年8月,1.1
1973年9月,1.2
1973年10月,1
1973年11月,1
1973年12月,1.1
1974年1月,1.4
1974年2月,1.6
1974年3月,1.7
1974年4月,1.3
1974年5月,1.2
1974年6月,1.2
1974年7月,1.1
1974年8月,1.4
1974年9月,1.3
1974年10月,1.4
1974年11月,1.3
1974年12月,1.6
1975年1月,2
1975年2月,2.1
1975年3月,2.2
1975年4月,1.9
1975年5月,1.7
1975年6月,1.7
1975年7月,1.6
1975年8月,1.8
1975年9月,1.9
1975年10月,1.9
1975年11月,1.9
1975年12月,2
1976年1月,2.4
1976年2月,2.4
1976年3月,2.4
1976年4月,2.1
1976年5月,2
1976年6月,1.9
1976年7月,1.8
1976年8月,1.9
1976年9月,1.9
1976年10月,1.8
1976年11月,1.8
1976年12月,1.7
1977年1月,2.2
1977年2月,2.3
1977年3月,2.4
1977年4月,1.9
1977年5月,2
1977年6月,2
1977年7月,1.9
1977年8月,1.9
1977年9月,1.9
1977年10月,1.8
1977年11月,1.9
1977年12月,2.1
1978年1月,2.4
1978年2月,2.5
1978年3月,2.6
1978年4月,2.2
1978年5月,2.2
1978年6月,2.2
1978年7月,2.1
1978年8月,2.2
1978年9月,2.2
1978年10月,2.1
1978年11月,2.1
1978年12月,2.1
1979年1月,2.3
1979年2月,2.2
1979年3月,2.5
1979年4月,2.2
1979年5月,2
1979年6月,1.9
1979年7月,2
1979年8月,2.1
1979年9月,1.9
1979年10月,2
1979年11月,2
1979年12月,1.9
1980年1月,2.1
1980年2月,2
1980年3月,2.2
1980年4月,2.1
1980年5月,1.9
1980年6月,1.8
1980年7月,1.9
1980年8月,2
1980年9月,1.9
1980年10月,2
1980年11月,2.1
1980年12月,2.1
1981年1月,2.2
1981年2月,2.4
1981年3月,2.5
1981年4月,2.4
1981年5月,2.3
1981年6月,2.2
1981年7月,2.1
1981年8月,2
1981年9月,2.1
1981年10月,2.1
1981年11月,2.1
1981年12月,2.1
1982年1月,2.3
1982年2月,2.4
1982年3月,2.6
1982年4月,2.5
1982年5月,2.3
1982年6月,2.3
1982年7月,2.3
1982年8月,2.2
1982年9月,2.3
1982年10月,2.4
1982年11月,2.3
1982年12月,2.3
1983年1月,2.8
1983年2月,2.9
1983年3月,3
1983年4月,2.9
1983年5月,2.6
1983年6月,2.5
1983年7月,2.4
1983年8月,2.7
1983年9月,2.6
1983年10月,2.5
1983年11月,2.5
1983年12月,2.5
1984年1月,2.9
1984年2月,3
1984年3月,3.1
1984年4月,2.8
1984年5月,2.7
1984年6月,2.7
1984年7月,2.6
1984年8月,2.6
1984年9月,2.6
